0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:54 +0530] "GET /jenkins/static/8837540b/css/icomoon/css/icomoon.css HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:54 +0530] "GET /jenkins/static/8837540b/css/google-fonts/roboto/css/roboto.css HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:54 +0530] "GET /jenkins/static/8837540b/css/icomoon/fonts/icomoon.ttf?-itxuas HTTP/1.1" 200 51116
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:59 +0530] "GET /jenkins/login?from=%2Fjenkins%2F HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:59 +0530] "GET /jenkins/login?from=%2Fjenkins%2F HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:15:59 +0530] "GET /jenkins/adjuncts/8837540b/org/kohsuke/stapler/bind.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:16:00 +0530] "GET /jenkins/static/8837540b/assets/jquery-detached/jsmodules/jquery2.js HTTP/1.1" 200 39262
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:16:00 +0530] "GET /jenkins/static/8837540b/assets/bootstrap/jsmodules/bootstrap3.js HTTP/1.1" 200 18747
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:16:00 +0530] "GET /jenkins/static/8837540b/assets/bootstrap/jsmodules/bootstrap3/style.css HTTP/1.1" 200 22416
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:16:00 +0530] "GET /jenkins/static/8837540b/assets/handlebars/jsmodules/handlebars3.js HTTP/1.1" 200 63821
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:16:00 +0530] "GET /jenkins/static/8837540b/css/google-fonts/roboto/fonts/roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-300.woff2 HTTP/1.1" 200 63104
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:16:00 +0530] "GET /jenkins/static/8837540b/css/google-fonts/roboto/fonts/roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-regular.woff2 HTTP/1.1" 200 63156
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:16:00 +0530] "GET /jenkins/static/8837540b/css/google-fonts/roboto/fonts/roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-500.woff2 HTTP/1.1" 200 63800
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:16:00 +0530] "GET /jenkins/static/8837540b/css/google-fonts/roboto/fonts/roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-700.woff2 HTTP/1.1" 200 63396
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:16:00 +0530] "GET /jenkins/static/8837540b/css/google-fonts/roboto/fonts/roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-900.woff2 HTTP/1.1" 200 63696
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:09 +0530] "POST /jenkins/j_acegi_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:10 +0530] "GET /jenkins/ HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:10 +0530] "GET /jenkins/adjuncts/8837540b/org/kohsuke/stapler/bind.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:10 +0530] "GET /jenkins/static/8837540b/assets/jquery-detached/jsmodules/jquery2.js HTTP/1.1" 200 39262
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:10 +0530] "GET /jenkins/static/8837540b/assets/bootstrap/jsmodules/bootstrap3.js HTTP/1.1" 200 18747
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:10 +0530] "GET /jenkins/static/8837540b/assets/bootstrap/jsmodules/bootstrap3/style.css HTTP/1.1" 200 22416
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:10 +0530] "GET /jenkins/static/8837540b/assets/handlebars/jsmodules/handlebars3.js HTTP/1.1" 200 63821
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:10 +0530] "GET /jenkins/i18n/resourceBundle?baseName=jenkins.install.pluginSetupWizard&_=1498830490316 HTTP/1.1" 200 6021
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:10 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490317 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:10 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490318 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:10 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490319 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:10 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490320 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:11 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490321 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:11 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490322 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:11 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490323 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:11 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490324 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:11 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490325 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:11 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490326 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:11 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490327 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:11 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490328 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:12 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490329 HTTP/1.1" 200 72
